property_type,area_type,availability,location,size,area,bath,balcony,price_per_sqft,price
flat,Built-up  Area,Ready To Move,other,1,400.0,1,0,3500.0,0.14
flat,Super built-up  Area,Ready To Move,Banashankari,3,1340.0,2,3,4030.0,0.54
flat,Super built-up  Area,Ready To Move,Malleshwaram,2,900.0,2,1,10556.0,0.95
flat,Super built-up  Area,Ready To Move,Hennur Road,2,987.0,2,1,4965.0,0.49
flat,Super built-up  Area,Ready To Move,Old Madras Road,3,1720.0,3,2,5814.0,1.0
flat,Super built-up  Area,Ready To Move,Hebbal,2,1040.0,2,1,4808.0,0.5
flat,Built-up  Area,Ready To Move,Anandapura,2,900.0,2,0,7111.0,0.64
flat,Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1030.0,2,1,4854.0,0.5
flat,Super built-up  Area,Ready To Move,Neeladri Nagar,3,2556.0,3,2,5203.0,1.33
flat,Super built-up  Area,Ready To Move,Basavangudi,3,1850.0,3,1,9081.0,1.68
house,Plot  Area,Ready To Move,Kaval Byrasandra,4,750.0,4,3,14667.0,1.1
flat,Super built-up  Area,18-Apr,Balagere,2,1028.0,2,1,3113.0,0.32
flat,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1270.0,2,1,6535.0,0.83
flat,Built-up  Area,18-Mar,Sahakara Nagar,3,1655.0,3,1,6949.0,1.15
flat,Built-up  Area,Ready To Move,Electronics City Phase 1,2,940.0,2,1,4255.0,0.4
flat,Super built-up  Area,Ready To Move,Domlur,2,1050.0,2,2,8095.0,0.85
house,Plot  Area,Ready To Move,other,4,600.0,4,1,6667.0,0.4
flat,Super built-up  Area,18-Apr,other,2,946.0,2,1,4017.0,0.38
flat,Built-up  Area,Ready To Move,CV Raman Nagar,3,1726.0,3,3,8401.0,1.45
flat,Super built-up  Area,Ready To Move,Sarakki Nagar,3,2121.0,4,3,11928.0,2.53
flat,Super built-up  Area,Ready To Move,Vittasandra,2,1404.0,2,1,5342.0,0.75
flat,Super built-up  Area,Ready To Move,Sarjapur,3,1525.0,2,2,3148.0,0.48
flat,Super built-up  Area,Ready To Move,Kengeri,2,1025.0,2,2,5561.0,0.57
house,Plot  Area,Ready To Move,other,5,1575.0,4,0,9524.0,1.5
flat,Built-up  Area,Ready To Move,other,2,860.0,1,1,5000.0,0.43
flat,Super built-up  Area,Ready To Move,Talaghattapura,3,1223.0,2,1,3516.0,0.43
flat,Super built-up  Area,Ready To Move,Kothannur,2,1197.0,2,1,4010.0,0.48
flat,Super built-up  Area,Ready To Move,Garudachar Palya,2,1150.0,2,1,4609.0,0.53
flat,Built-up  Area,Ready To Move,other,4,4800.0,5,3,13104.0,6.29
flat,Super built-up  Area,Ready To Move,R.T. Nagar,2,1040.0,2,2,4423.0,0.46
flat,Super built-up  Area,18-May,Banashankari,2,1310.0,2,2,6107.0,0.8
flat,Super built-up  Area,Ready To Move,Uttarahalli,3,1788.0,3,2,5481.0,0.98
flat,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1144.0,2,2,3409.0,0.39
flat,Super built-up  Area,18-Jul,Anjanapura,2,1070.0,2,2,3645.0,0.39
flat,Super built-up  Area,Ready To Move,other,2,1200.0,2,2,5833.0,0.7
flat,Super built-up  Area,Ready To Move,Ambedkar Nagar,3,1862.0,3,2,6445.0,1.2
house,Plot  Area,Ready To Move,Margondanahalli,2,1200.0,2,1,4833.0,0.58
flat,Super built-up  Area,Ready To Move,Begur Road,2,970.0,2,2,2784.0,0.27
flat,Super built-up  Area,19-Mar,Kasavanhalli,3,1646.0,3,2,4860.0,0.8
flat,Super built-up  Area,Ready To Move,Sarjapur  Road,4,4395.0,4,2,5506.0,2.42
house,Plot  Area,Ready To Move,other,5,1200.0,4,1,8333.0,1.0
flat,Super built-up  Area,18-Dec,Iblur Village,3,1995.0,3,2,6767.0,1.35
house,Plot  Area,Ready To Move,1st Block Jayanagar,4,2400.0,4,2,18750.0,4.5
flat,Super built-up  Area,18-Dec,Hosakerehalli,2,1085.0,2,1,4424.0,0.48
flat,Super built-up  Area,Ready To Move,Budigere,2,1139.0,2,2,5004.0,0.57
flat,Super built-up  Area,Ready To Move,Haralur Road,2,1092.0,2,2,4029.0,0.44
flat,Super built-up  Area,Ready To Move,Pattandur Agrahara,3,1767.0,3,2,5546.0,0.98
flat,Super built-up  Area,Ready To Move,Bellandur,3,1692.0,3,2,5201.0,0.88
flat,Built-up  Area,Ready To Move,6th Phase JP Nagar,3,1645.0,3,3,6079.0,1.0
flat,Super built-up  Area,Ready To Move,Uttarahalli,3,1345.0,2,1,4238.0,0.57
flat,Super built-up  Area,Ready To Move,other,2,1100.0,2,1,5455.0,0.6
flat,Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3,1408.0,3,3,4403.0,0.62
house,Plot  Area,Ready To Move,Banashankari Stage III,4,2400.0,4,1,10000.0,2.4
house,Plot  Area,Ready To Move,Kadugodi,4,1920.0,4,2,10417.0,2.0
flat,Super built-up  Area,Ready To Move,Thigalarapalya,3,2072.0,4,2,7239.0,1.5
flat,Super built-up  Area,Ready To Move,Malleshwaram,2,1420.0,2,1,11127.0,1.58
house,Plot  Area,Ready To Move,Electronics City Phase 1,3,2040.0,3,2,6716.0,1.37
flat,Super built-up  Area,Ready To Move,Sarjapur  Road,3,1220.0,3,2,4590.0,0.56
house,Plot  Area,Ready To Move,8th Phase JP Nagar,4,1200.0,4,2,12083.0,1.45
flat,Super built-up  Area,Ready To Move,other,2,1300.0,2,1,6077.0,0.79
flat,Super built-up  Area,21-Aug,Electronics City Phase 1,2,1150.0,2,2,3391.0,0.39
flat,Super built-up  Area,Ready To Move,KR Puram,2,1470.0,2,2,5850.0,0.86
flat,Super built-up  Area,18-May,Hosa Road,2,1063.0,2,1,3010.0,0.32
flat,Super built-up  Area,Ready To Move,other,2,1311.0,2,2,3661.0,0.48
flat,Super built-up  Area,Ready To Move,other,4,3500.0,4,3,10000.0,3.5
house,Plot  Area,Ready To Move,Nagarbhavi,4,600.0,2,1,16667.0,1.0
flat,Super built-up  Area,Ready To Move,other,3,1400.0,2,2,3929.0,0.55
flat,Built-up  Area,16-Mar,Kanakpura Road,2,2200.0,2,0,2818.0,0.62
flat,Built-up  Area,Ready To Move,Vidyaranyapura,2,1060.0,2,2,5189.0,0.55
flat,Built-up  Area,Ready To Move,other,3,1000.0,2,0,11000.0,1.1
flat,Super built-up  Area,Ready To Move,Sector 7 HSR Layout,3,1760.0,3,2,8239.0,1.45
flat,Super built-up  Area,Ready To Move,Whitefield,3,2010.0,3,3,4577.0,0.92
flat,Super built-up  Area,Ready To Move,Kanakpura Road,3,1480.0,2,2,4324.0,0.64
flat,Super built-up  Area,18-Jun,8th Phase JP Nagar,3,1230.0,2,2,3577.0,0.44
flat,Super built-up  Area,Ready To Move,Gottigere,3,1300.0,3,3,5000.0,0.65
house,Plot  Area,Ready To Move,other,4,800.0,4,0,15000.0,1.2
flat,Super built-up  Area,Ready To Move,Frazer Town,4,4850.0,6,2,7938.0,3.85
flat,Super built-up  Area,Ready To Move,Singasandra,2,1100.0,2,1,4727.0,0.52
flat,Super built-up  Area,Ready To Move,Harlur,3,1752.1,3,2,6621.0,1.16
flat,Super built-up  Area,Ready To Move,Marathahalli,2,957.0,2,1,4911.0,0.47
flat,Super built-up  Area,20-Jan,Balagere,1,790.5,1,0,5313.0,0.42
flat,Built-up  Area,Ready To Move,other,3,1942.0,3,2,5252.0,1.02
flat,Built-up  Area,Ready To Move,other,2,1000.0,2,2,5300.0,0.53
flat,Super built-up  Area,Ready To Move,Yeshwanthpur,1,668.0,1,1,5539.0,0.37
house,Plot  Area,Ready To Move,other,5,3000.0,6,3,33333.0,10.0
house,Plot  Area,Ready To Move,Nagarbhavi,3,600.0,2,1,13333.0,0.8
flat,Super built-up  Area,Ready To Move,Uttarahalli,2,1089.0,2,1,4040.0,0.44
flat,Super built-up  Area,Ready To Move,Thanisandra,3,1800.0,3,3,5000.0,0.9
flat,Super built-up  Area,Ready To Move,Yelahanka New Town,1,960.0,2,1,1875.0,0.18
flat,Super built-up  Area,Ready To Move,Yelahanka,2,1036.0,2,3,3764.0,0.39
flat,Super built-up  Area,Ready To Move,Marathahalli,3,1583.0,3,3,6633.0,1.05
flat,Built-up  Area,Ready To Move,7th Phase JP Nagar,4,3300.0,4,0,4545.0,1.5
flat,Super built-up  Area,Ready To Move,Padmanabhanagar,2,1100.0,2,2,5909.0,0.65
house,Plot  Area,Ready To Move,Thyagaraja Nagar,1,800.0,1,1,12500.0,1.0
flat,Super built-up  Area,Ready To Move,Vittasandra,2,1246.0,2,1,5217.0,0.65
flat,Super built-up  Area,Ready To Move,Dodda Nekkundi,2,850.0,2,3,3294.0,0.28
flat,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1196.0,2,2,4348.0,0.52
flat,Super built-up  Area,Ready To Move,Thanisandra,3,1697.0,3,2,6718.0,1.14
flat,Built-up  Area,Ready To Move,TC Palaya,2,1000.0,2,0,6400.0,0.64
flat,Super built-up  Area,Ready To Move,HRBR Layout,3,1567.0,3,3,5743.0,0.9
house,Plot  Area,Ready To Move,Sarjapur  Road,4,3750.0,6,3,7733.0,2.9
flat,Super built-up  Area,Ready To Move,other,2,950.0,2,2,4737.0,0.45
flat,Super built-up  Area,Ready To Move,other,2,1022.0,2,2,5088.0,0.52
flat,Super built-up  Area,Ready To Move,Kammasandra,2,1018.0,2,0,2259.0,0.23
house,Plot  Area,Ready To Move,other,4,2000.0,3,2,1250.0,0.25
flat,Super built-up  Area,Ready To Move,Bharathi Nagar,2,1322.0,2,2,5144.0,0.68
house,Plot  Area,Ready To Move,Marsur,4,1800.0,4,2,8056.0,1.45
flat,Super built-up  Area,Ready To Move,Doddakallasandra,3,1460.0,2,2,3973.0,0.58
flat,Super built-up  Area,18-May,other,2,990.0,2,1,4545.0,0.45
flat,Built-up  Area,Ready To Move,other,3,2400.0,3,1,10833.0,2.6
flat,Super built-up  Area,Ready To Move,Whitefield,3,1635.0,2,2,5199.0,0.85
flat,Super built-up  Area,Ready To Move,Rajaji Nagar,4,3526.0,4,1,15825.0,5.58
flat,Built-up  Area,Ready To Move,Padmanabhanagar,4,3400.0,3,1,6176.0,2.1
flat,Built-up  Area,Ready To Move,other,3,2770.0,3,1,16606.0,4.6
flat,Super built-up  Area,Ready To Move,EPIP Zone,4,3035.0,5,0,6590.0,2.0
flat,Super built-up  Area,Ready To Move,other,3,1533.0,3,2,5545.0,0.85
flat,Super built-up  Area,Ready To Move,Akshaya Nagar,3,1720.0,3,1,7791.0,1.34
flat,Super built-up  Area,Ready To Move,Frazer Town,3,2000.0,3,1,10000.0,2.0
flat,Super built-up  Area,18-Aug,Yeshwanthpur,2,1185.0,2,2,6414.0,0.76
flat,Super built-up  Area,19-Dec,Varthur Road,2,900.0,2,1,3000.0,0.27
flat,Built-up  Area,Ready To Move,Attibele,1,395.0,1,1,2532.0,0.1
flat,Super built-up  Area,Ready To Move,Electronic City Phase II,2,1031.0,2,1,5432.0,0.56
house,Plot  Area,Ready To Move,other,6,2400.0,8,2,27083.0,6.5
flat,Super built-up  Area,Ready To Move,Thanisandra,4,2650.0,4,2,9057.0,2.4
house,Plot  Area,Ready To Move,Basaveshwara Nagar,5,2400.0,5,1,17292.0,4.15
flat,Super built-up  Area,Ready To Move,Hennur,2,1259.0,2,2,4527.0,0.57
flat,Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1570.0,3,2,5605.0,0.88
flat,Built-up  Area,Ready To Move,Bisuvanahalli,3,1075.0,2,1,3349.0,0.36
flat,Super built-up  Area,18-May,Whitefield,2,1216.0,2,1,6497.0,0.79
flat,Super built-up  Area,Ready To Move,Sarjapur  Road,3,1428.0,2,2,4622.0,0.66
flat,Super built-up  Area,Ready To Move,Begur Road,2,1160.0,2,2,3534.0,0.41
house,Plot  Area,18-Feb,other,3,600.0,2,1,18333.0,1.1
flat,Super built-up  Area,Ready To Move,other,3,1475.0,3,2,4746.0,0.7
flat,Super built-up  Area,Ready To Move,Harlur,3,1754.0,3,2,7697.0,1.35
flat,Super built-up  Area,18-Feb,Rayasandra,3,1639.0,3,1,5064.0,0.83
flat,Super built-up  Area,19-Mar,Hennur Road,3,1804.0,3,2,5654.0,1.02
house,Plot  Area,18-Aug,Whitefield,3,1200.0,3,2,4667.0,0.56
flat,Built-up  Area,Ready To Move,other,2,1135.0,2,3,4846.0,0.55
flat,Super built-up  Area,Ready To Move,Begur Road,2,1260.0,2,2,3730.0,0.47
house,Plot  Area,Ready To Move,other,5,1440.0,5,1,7639.0,1.1
flat,Built-up  Area,Ready To Move,Hennur Road,3,2160.0,3,2,7407.0,1.6
flat,Super built-up  Area,Ready To Move,Rachenahalli,2,1220.0,2,2,4918.0,0.6
house,Plot  Area,Ready To Move,Margondanahalli,2,1200.0,2,0,5583.0,0.67
flat,Super built-up  Area,Ready To Move,Yelahanka,2,1300.0,2,3,5000.0,0.65
flat,Super built-up  Area,Ready To Move,Cox Town,1,605.0,1,1,4793.0,0.29
house,Plot  Area,Ready To Move,Vijayanagar,6,1230.0,4,1,17073.0,2.1
flat,Super built-up  Area,18-Apr,Bhoganhalli,2,1444.0,2,1,5263.0,0.76
flat,Built-up  Area,Ready To Move,Amruthahalli,2,924.0,2,1,4870.0,0.45
flat,Super built-up  Area,18-Nov,Kaikondrahalli,2,1000.0,2,1,3000.0,0.3
house,Plot  Area,Ready To Move,Vishveshwarya Layout,4,600.0,4,0,15833.0,0.95
house,Plot  Area,Ready To Move,other,3,1200.0,3,3,18750.0,2.25
flat,Super built-up  Area,Ready To Move,Bisuvanahalli,2,845.0,2,1,3432.0,0.29
flat,Super built-up  Area,21-Dec,Kanakpura Road,2,700.0,2,1,5000.0,0.35
flat,Super built-up  Area,Ready To Move,Kothanur,2,1187.0,2,2,4886.0,0.58
flat,Super built-up  Area,Ready To Move,Kaggadasapura,3,1625.0,3,2,3385.0,0.55
house,Plot  Area,Ready To Move, Devarachikkanahalli,2,1200.0,2,2,6917.0,0.83
flat,Super built-up  Area,Ready To Move,other,2,1452.6,2,3,7573.0,1.1
flat,Built-up  Area,Ready To Move,other,3,2357.0,3,2,6406.0,1.51
flat,Super built-up  Area,Ready To Move,Kaval Byrasandra,2,1200.0,2,1,4167.0,0.5
flat,Super built-up  Area,Ready To Move,Budigere,2,1139.0,2,2,5004.0,0.57
flat,Built-up  Area,Ready To Move,Basavangudi,1,600.0,1,0,16333.0,0.98
flat,Super built-up  Area,Ready To Move,Kanakpura Road,3,1660.0,3,3,4518.0,0.75
flat,Super built-up  Area,Ready To Move,other,2,1170.0,2,3,8974.0,1.05
flat,Super built-up  Area,Ready To Move,Somasundara Palya,2,1448.0,2,2,4696.0,0.68
flat,Super built-up  Area,18-May,Kadugodi,3,1762.0,3,3,6243.0,1.1
flat,Super built-up  Area,Ready To Move,Kaggadasapura,2,1105.0,2,1,3529.0,0.39
flat,Super built-up  Area,18-Mar,Yelahanka,3,1825.0,3,1,5753.0,1.05
flat,Super built-up  Area,19-Dec,other,1,296.0,1,0,7770.0,0.23
house,Plot  Area,Ready To Move,other,5,1200.0,4,1,7083.0,0.85
flat,Super built-up  Area,Ready To Move,Thanisandra,2,1185.0,2,2,3629.0,0.43
flat,Built-up  Area,18-Aug,Electronic City Phase II,3,1320.0,2,1,2879.0,0.38
flat,Super built-up  Area,Ready To Move,Hulimavu,2,1058.0,2,1,4537.0,0.48
flat,Super built-up  Area,Ready To Move,Bellandur,2,1220.0,2,2,4918.0,0.6
flat,Super built-up  Area,18-Aug,Sarjapur,2,925.0,2,1,2703.0,0.25
flat,Super built-up  Area,18-May,Old Madras Road,2,1200.0,2,1,6000.0,0.72
flat,Super built-up  Area,Ready To Move,Kengeri,3,1160.0,2,2,3534.0,0.41
house,Plot  Area,Ready To Move,Kengeri Satellite Town,3,600.0,4,3,12000.0,0.72
flat,Super built-up  Area,18-Jul,other,3,1411.0,3,2,6520.0,0.92
flat,Super built-up  Area,Ready To Move,Bannerghatta Road,3,1550.0,3,2,5032.0,0.78
flat,Super built-up  Area,Ready To Move,Green Glen Layout,4,3250.0,4,3,7077.0,2.3
flat,Super built-up  Area,19-Dec,7th Phase JP Nagar,4,2503.0,4,0,7511.0,1.88
flat,Super built-up  Area,Ready To Move,Marathahalli,4,2524.0,5,2,7528.0,1.9
flat,Super built-up  Area,Ready To Move,Kaggadasapura,2,1063.0,2,2,3951.0,0.42
flat,Super built-up  Area,Ready To Move,Kanakpura Road,2,1077.0,2,1,3528.0,0.38
flat,Super built-up  Area,Ready To Move,other,2,1200.0,3,2,3667.0,0.44
flat,Built-up  Area,Ready To Move,Hosakerehalli,4,1500.0,3,2,4667.0,0.7
flat,Super built-up  Area,Ready To Move,Jalahalli,2,1045.0,2,2,7368.0,0.77
flat,Super built-up  Area,Ready To Move,Kanakapura,3,1290.0,2,3,3488.0,0.45
flat,Super built-up  Area,Ready To Move,Hoodi,2,1400.0,2,1,5571.0,0.78
flat,Built-up  Area,Ready To Move,Begur Road,3,1600.0,3,2,3625.0,0.58
flat,Super built-up  Area,Ready To Move,other,3,3095.0,3,3,12116.0,3.75
flat,Super built-up  Area,Ready To Move,Nagavara,3,1545.0,2,1,3754.0,0.58
flat,Super built-up  Area,Ready To Move,Sarjapur  Road,3,1680.0,3,1,6667.0,1.12
flat,Built-up  Area,Ready To Move,other,2,1350.0,2,1,5037.0,0.68
flat,Super built-up  Area,Ready To Move,Gottigere,2,950.0,2,1,4000.0,0.38
flat,Super built-up  Area,Ready To Move,Thanisandra,2,1050.0,2,2,4286.0,0.45
flat,Super built-up  Area,Ready To Move,Banashankari Stage V,3,1305.0,2,2,3755.0,0.49
house,Plot  Area,Ready To Move,Hosakerehalli,4,800.0,4,2,15000.0,1.2
flat,Built-up  Area,18-Feb,Kodichikkanahalli,5,2700.0,7,2,4630.0,1.25
house,Plot  Area,Ready To Move,other,3,1100.0,3,1,7091.0,0.78
flat,Built-up  Area,Ready To Move,Thanisandra,6,3500.0,5,0,4571.0,1.6
flat,Super built-up  Area,19-Oct,Begur Road,3,1634.0,3,1,5080.0,0.83
flat,Super built-up  Area,Ready To Move,Prithvi Layout,2,1352.0,2,2,6287.0,0.85
flat,Super built-up  Area,17-Sep,Balagere,2,1145.0,2,2,5677.0,0.65
flat,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,2200.0,3,2,8636.0,1.9
flat,Super built-up  Area,18-Mar,Bommasandra Industrial Area,2,1020.0,2,1,3824.0,0.39
flat,Super built-up  Area,18-Aug,Raja Rajeshwari Nagar,2,1168.0,2,1,5223.0,0.61
flat,Super built-up  Area,18-Jul,Electronic City Phase II,2,1205.0,2,1,6224.0,0.75
flat,Super built-up  Area,Ready To Move,Yeshwanthpur,2,1195.0,2,2,8368.0,1.0
flat,Built-up  Area,Ready To Move,CV Raman Nagar,2,1028.0,2,1,4767.0,0.49
flat,Super built-up  Area,Ready To Move,other,2,1175.0,2,2,4085.0,0.48
flat,Super built-up  Area,Ready To Move,Pai Layout,3,1550.0,2,2,5806.0,0.9
flat,Super built-up  Area,Ready To Move,Yeshwanthpur,3,1826.0,3,2,9036.0,1.65
house,Plot  Area,Ready To Move,Hoodi,5,2400.0,5,2,6667.0,1.6
flat,Super built-up  Area,Ready To Move,Yelahanka,3,1603.0,3,2,5989.0,0.96
flat,Built-up  Area,Ready To Move,Marathahalli,3,1350.0,3,1,5333.0,0.72
flat,Built-up  Area,Ready To Move,KR Puram,1,714.0,1,1,3922.0,0.28
flat,Super built-up  Area,18-Nov,Whitefield,2,1215.0,2,3,5350.0,0.65
flat,Built-up  Area,Ready To Move,Malleshpalya,3,1405.0,2,2,5480.0,0.77
flat,Super built-up  Area,Ready To Move,KR Puram,2,1142.0,2,1,4466.0,0.51
flat,Built-up  Area,Ready To Move,other,4,4000.0,4,3,4250.0,1.7
flat,Super built-up  Area,Ready To Move,Whitefield,3,1870.0,3,2,4813.0,0.9
flat,Super built-up  Area,Ready To Move,Subramanyapura,2,1313.0,2,2,5560.0,0.73
flat,Built-up  Area,Ready To Move,other,3,1945.0,3,3,6170.0,1.2
flat,Super built-up  Area,17-Jul,Thanisandra,3,1573.0,3,2,6039.0,0.95
flat,Super built-up  Area,Ready To Move,Sarjapur  Road,2,1255.0,2,1,7331.0,0.92
flat,Super built-up  Area,Ready To Move,Benson Town,4,1400.0,3,2,6500.0,0.91
flat,Super built-up  Area,18-May,Kannamangala,2,1235.0,2,2,3563.0,0.44
flat,Super built-up  Area,Ready To Move,Sarjapur  Road,3,1380.0,2,1,3768.0,0.52
house,Plot  Area,Ready To Move,Ramamurthy Nagar,7,1500.0,9,2,16667.0,2.5
flat,Super built-up  Area,18-Oct,other,3,1465.0,2,3,5119.0,0.75
flat,Super built-up  Area,Ready To Move,Thigalarapalya,2,1418.0,2,2,7264.0,1.03
flat,Super built-up  Area,Ready To Move,other,3,1650.0,3,1,10000.0,1.65
flat,Built-up  Area,Ready To Move,other,1,351.0,1,1,4558.0,0.16
flat,Super built-up  Area,Ready To Move,Uttarahalli,2,1279.0,2,2,3753.0,0.48
flat,Built-up  Area,Ready To Move,Kasavanhalli,3,1870.0,3,1,10695.0,2.0
house,Plot  Area,Ready To Move,other,4,1500.0,5,1,15333.0,2.3
flat,Super built-up  Area,19-Oct,Hebbal,3,2526.0,2,2,9897.0,2.5
house,Plot  Area,Ready To Move,other,3,1550.0,2,1,9677.0,1.5
flat,Super built-up  Area,18-Aug,Uttarahalli,3,1845.0,2,1,3686.0,0.68
flat,Super built-up  Area,Ready To Move,other,3,1360.0,2,1,4338.0,0.59
flat,Built-up  Area,Ready To Move,other,3,1150.0,2,1,6522.0,0.75
flat,Super built-up  Area,Ready To Move,Whitefield,2,1260.0,2,2,3968.0,0.5
house,Plot  Area,Ready To Move,other,3,1200.0,3,1,6167.0,0.74
flat,Built-up  Area,Ready To Move,Dasanapura,2,965.0,2,1,4352.0,0.42
flat,Built-up  Area,Ready To Move,Hoodi,3,1350.0,2,3,3556.0,0.48
flat,Super built-up  Area,18-Jul,Bhoganhalli,2,1447.0,2,1,5252.0,0.76
flat,Super built-up  Area,Ready To Move,other,3,1229.0,3,1,6998.0,0.86
flat,Super built-up  Area,Ready To Move,Kudlu,2,1027.0,2,2,4187.0,0.43
flat,Super built-up  Area,Ready To Move,Gottigere,2,1153.0,2,1,4163.0,0.48
flat,Super built-up  Area,18-Dec,Whitefield,4,2856.0,5,0,5112.0,1.46
flat,Super built-up  Area,Ready To Move,Malleshpalya,2,1065.0,2,2,4695.0,0.5
flat,Built-up  Area,Ready To Move,other,2,1030.0,2,3,5922.0,0.61
flat,Super built-up  Area,Ready To Move,Mallasandra,2,1340.0,2,2,4552.0,0.61
flat,Built-up  Area,Ready To Move,other,1,600.0,1,0,5333.0,0.32
flat,Super built-up  Area,Ready To Move,Begur Road,3,1410.0,2,3,3121.0,0.44
flat,Super built-up  Area,20-Dec,Varthur,2,1055.0,2,2,4265.0,0.45
flat,Super built-up  Area,18-May,Yelahanka,2,1304.0,2,1,6058.0,0.79
flat,Super built-up  Area,18-Feb,other,4,2720.0,4,1,17831.0,4.85
flat,Built-up  Area,Ready To Move,Kammasandra,2,990.0,2,1,3232.0,0.32
flat,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1035.0,2,1,3768.0,0.39
flat,Super built-up  Area,21-Jun,Tumkur Road,1,700.0,1,0,4286.0,0.3
flat,Super built-up  Area,Ready To Move,Sonnenahalli,2,1120.0,2,2,3839.0,0.43
flat,Super built-up  Area,Ready To Move,Haralur Road,2,1300.0,2,2,5615.0,0.73
flat,Super built-up  Area,21-Jan,Tumkur Road,2,1239.0,2,1,6618.0,0.82
flat,Super built-up  Area,Ready To Move,Hosa Road,2,1365.0,2,1,6740.0,0.92
flat,Super built-up  Area,Ready To Move,other,2,1165.0,2,1,11588.0,1.35
flat,Super built-up  Area,Ready To Move,Subramanyapura,3,1130.0,2,3,3982.0,0.45
flat,Super built-up  Area,Ready To Move,Green Glen Layout,3,1776.4,3,2,5911.0,1.05
house,Plot  Area,Ready To Move,Vidyaranyapura,4,900.0,4,3,19444.0,1.75
flat,Super built-up  Area,Ready To Move,other,2,1107.0,2,2,2981.0,0.33
flat,Super built-up  Area,Ready To Move,Nagavara,3,2319.0,3,2,7762.0,1.8
flat,Super built-up  Area,Ready To Move,other,3,1520.0,3,3,5263.0,0.8
flat,Super built-up  Area,19-Jul,Kannamangala,3,1536.0,3,1,5794.0,0.89
flat,Built-up  Area,Ready To Move,other,4,3000.0,4,2,8000.0,2.4
flat,Super built-up  Area,Ready To Move,other,2,1050.0,2,1,3619.0,0.38
flat,Super built-up  Area,22-Jun,Hoodi,3,1850.0,3,2,7892.0,1.46
flat,Super built-up  Area,Ready To Move,Billekahalli,2,1112.0,2,2,5576.0,0.62
flat,Super built-up  Area,Ready To Move,Marathahalli,3,1535.0,3,2,4691.0,0.72
flat,Built-up  Area,Ready To Move,Kanakpura Road,2,1050.0,2,1,3333.0,0.35
house,Plot  Area,Ready To Move,Banashankari,4,2400.0,3,2,15417.0,3.7
flat,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,1250.0,3,2,5200.0,0.65
flat,Super built-up  Area,Ready To Move,Kalena Agrahara,2,1187.0,2,3,4381.0,0.52
flat,Built-up  Area,Ready To Move,9th Phase JP Nagar,2,1164.0,2,1,4811.0,0.56
flat,Super built-up  Area,18-May,Electronic City Phase II,3,1395.0,2,1,4516.0,0.63
flat,Super built-up  Area,18-Jul,Arekere,3,2072.0,3,2,5212.0,1.08
flat,Super built-up  Area,Ready To Move,Kanakpura Road,3,1450.0,3,3,4207.0,0.61
flat,Super built-up  Area,Ready To Move,Bannerghatta Road,3,1550.0,3,2,5290.0,0.82
flat,Super built-up  Area,Ready To Move,other,2,1315.0,2,2,6844.0,0.9
flat,Super built-up  Area,19-Dec,Hebbal,4,3067.0,4,3,7499.0,2.3
flat,Super built-up  Area,Ready To Move,other,2,1210.0,2,2,5950.0,0.72
flat,Super built-up  Area,Ready To Move,Bisuvanahalli,3,1075.0,2,1,4372.0,0.47
flat,Super built-up  Area,Ready To Move,other,6,11338.0,9,1,8820.0,10.0
flat,Super built-up  Area,18-May,other,3,1215.0,3,1,3457.0,0.42
flat,Built-up  Area,Ready To Move,Kaggadasapura,3,1470.0,2,2,5102.0,0.75
flat,Built-up  Area,Ready To Move,Hosur Road,3,1590.0,2,2,7862.0,1.25
flat,Super built-up  Area,Ready To Move,Kanakpura Road,2,1050.0,2,1,3524.0,0.37
flat,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1306.0,2,1,4288.0,0.56
flat,Built-up  Area,Ready To Move,Malleshwaram,3,2000.0,3,2,12500.0,2.5
flat,Built-up  Area,Ready To Move,other,3,1445.0,3,2,4429.0,0.64
flat,Super built-up  Area,Ready To Move,Sarjapur  Road,3,1220.0,3,2,4754.0,0.58
house,Plot  Area,Ready To Move,Sarjapur,4,3190.0,3,1,5016.0,1.6
flat,Super built-up  Area,18-May,Ramagondanahalli,2,1215.0,2,1,4198.0,0.51
flat,Built-up  Area,Ready To Move,Budigere,3,1920.0,2,1,4583.0,0.88
flat,Super built-up  Area,Ready To Move,Dodda Nekkundi,2,1390.0,2,2,4317.0,0.6
house,Plot  Area,Ready To Move,Battarahalli,3,800.0,2,1,9375.0,0.75
house,Plot  Area,Ready To Move,Nagarbhavi,3,600.0,3,2,16667.0,1.0
flat,Super built-up  Area,21-Jul,Hoodi,2,1196.0,2,0,6020.0,0.72
flat,Super built-up  Area,Ready To Move,Bannerghatta Road,3,1550.0,2,2,4839.0,0.75
flat,Super built-up  Area,Ready To Move,Thigalarapalya,2,1418.0,2,2,7123.0,1.01
